CURSO;MODULO;URL;LINEA
ANCESTROS Y RAICES;30;https://video.wixstatic.com/video/4ea8bc_ce71125fcbdc4d06aa7e47cf57993398/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;31;https://video.wixstatic.com/video/4ea8bc_107c08f55552415daa6bd1d3c65cc42f/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;32;https://video.wixstatic.com/video/4ea8bc_28e037f30b4f446ab2c27d9102668f67/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;33;https://video.wixstatic.com/video/4ea8bc_18da98dbc0754642a4177b9c6000b0ff/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;34;https://video.wixstatic.com/video/4ea8bc_fb7dd6a23b9e4ff39cbc8891eb47ba1d/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;35;https://video.wixstatic.com/video/4ea8bc_da88127d31ab4adab9ef0029bdf03dd4/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;36;https://video.wixstatic.com/video/4ea8bc_0ef69ec42d5746e596e050079df4553e/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;37;https://video.wixstatic.com/video/4ea8bc_817b5648cfa642b49d69706303c0143d/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;38;https://video.wixstatic.com/video/4ea8bc_137d3f45747f4bd4b7ad91e67ec80360/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;39;https://video.wixstatic.com/video/4ea8bc_8b5f9842697c4d288540023f18854048/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;40;https://video.wixstatic.com/video/4ea8bc_2c4edc387eb14b18b3eb9aa5e41a433a/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;41;https://video.wixstatic.com/video/4ea8bc_4b946c80fd9a46889567bd5cc511fd83/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;42;https://video.wixstatic.com/video/4ea8bc_42acb48142394bee8546da34725dfc77/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;43;https://video.wixstatic.com/video/4ea8bc_30b349106323456bbf7bb49b88892433/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;44;https://video.wixstatic.com/video/4ea8bc_7c816b70d3a04646b8756e8c86f635e4/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;45;https://video.wixstatic.com/video/4ea8bc_24f4796afe3445b589240d95dd24b2ac/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;46;https://video.wixstatic.com/video/4ea8bc_a0fcae4d7f0b4048878919319d93571c/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;47;https://video.wixstatic.com/video/4ea8bc_2555c612dc6f4344905f27e559d62f0a/720p/mp4/file.mp4;DIPLOMADOS
ANCESTROS Y RAICES;48;https://video.wixstatic.com/video/4ea8bc_31ecba2cd24b4b568c28d1551aafe017/720p/mp4/file.mp4;DIPLOMADOS
